Name,Staff or Volunteer,Activity,Date,Time Spent (hours),Legislator,Legislator Type,District,Legislation Discussed,Hourly Pay Rate,Cost
Kate Gage,Staff,Lobby Day with board volunteers to discuss environmental agenda,4/2/2024,0.5,Mia Bonta,CA State Assembly,ASM 18,Environmental Legislation,$100,$50
Kemi Oso ,Staff,Lobby Day with board volunteers to discuss environmental agenda,4/2/2024,0.5,Mia Bonta,CA State Assembly,ASM 18,Environmental Legislation,$100,$50
James Bradach,Volunteer,Lobby Day with board volunteers to discuss environmental agenda,4/2/2024,0.5,Mia Bonta,CA State Assembly,ASM 18,Environmental Legislation,$0,$0
Brent Dixon,Volunteer,Lobby Day with board volunteers to discuss environmental agenda,4/2/2024,0.5,Mia Bonta,CA State Assembly,ASM 18,Environmental Legislation,$0,$0
Josh Wolf,Staff,Lobby Day with board volunteers to discuss environmental agenda,4/3/2024,0.5,Mia Bonta,CA State Assembly,ASM 18,Environmental Legislation,$100,$50
Nick Chedli Carter,Volunteer,Lobby Day with board volunteers to discuss environmental agenda,4/3/2024,0.5,Mia Bonta,CA State Assembly,ASM 18,Environmental Legislation,$0,$0
Kate Gage,Staff,Lobby Day with board volunteers to discuss environmental agenda,4/2/2024,0.5,Phil Ting,CA State Assembly,ASM 19,Environmental Legislation,$100,$50
Kemi Oso ,Staff,Lobby Day with board volunteers to discuss environmental agenda,4/2/2024,0.5,Phil Ting,CA State Assembly,ASM 19,Environmental Legislation,$100,$50
James Bradach,Volunteer,Lobby Day with board volunteers to discuss environmental agenda,4/2/2024,0.5,Phil Ting,CA State Assembly,ASM 19,Environmental Legislation,$0,$0
Brent Dixon,Volunteer,Lobby Day with board volunteers to discuss environmental agenda,4/2/2024,0.5,Phil Ting,CA State Assembly,ASM 19,Environmental Legislation,$0,$0
Josh Wolf,Staff,Lobby Day with board volunteers to discuss environmental agenda,4/3/2024,0.5,Phil Ting,CA State Assembly,ASM 19,Environmental Legislation,$100,$50
Nick Chedli Carter,Volunteer,Lobby Day with board volunteers to discuss environmental agenda,4/3/2024,0.5,Phil Ting,CA State Assembly,ASM 19,Environmental Legislation,$0,$0
Kate Gage,Staff,Discuss Congressmember attendance at AI Hackathon,5/15/2024,0.25,Hon. Nancy Pelosi,US House,CA-11,AI Hackathon,$100,$25
Kemi Oso ,Staff,Discuss Congressmember attendance at AI Hackathon,5/15/2024,0.25,Hon. Nancy Pelosi,US House,CA-11,AI Hackathon,$100,$25
Josh Wolf,Staff,Discuss Congressmember attendance at AI Hackathon,5/15/2024,0.25,Hon. Nancy Pelosi,US House,CA-11,AI Hackathon,$100,$25
